"partNumber","title","price","partsCategory"
"ПЖД30-1015200-03","Агрегат насосный ПЖД30",14568,2869
"4320Я2-1015298","Бачок топливный ПЖД30 в сборе (краны, шланг)",1534,2869
"сб. 1322","Блок управления 24В 14ТС-10",5662,2869
"сб. 203-01","Блок управления 24В Теплостар 14ТС-10 (алюминиевый корпус)",5890,2869
"сб.1322","Блок управления 24В Теплостар 14ТС-10 (пластмассовый корпус), МАЗ, КАМАЗ, грузовые а/м, трактора",5889,2869
"СБ. 1935","Блок управления Бинар 5Д-С, 5Д-СВ",3694,2869
"ПЖД 12 Б-01 М","Блок управления ПЖД 12Б-01М",3608,2869
"сб.203","Блок управления ПЖД ТЕПЛОСТАР 14ТС-10 18.1-18.4 24V АДВЕРС",0,2869
"14ТС-10,сб 287","Блок управления ПЖД ТЕПЛОСТАР 14ТС-10, АДВЕРС",5029,2869
"сб.1395","Блок управления ПЖД ТЕПЛОСТАР 20ТС-Д38-24V АДВЕРС",0,2869
"сб.1263 24В","Блок управления Планар 4ДМ-24, ГРУЗОВЫЕ А/М, ТРАКТОРА,",2578,2869
"сб.287 блок управления 24","Блок управления подогревателем 14ТС-10, ГРУЗОВЫЕ А/М, ТРАКТОРА, Прим. 24в",5740,2869
"сб. 2432","Блок управления сб.2432 (для 14ТС-10-24-GP)",5750,2871
"ПЖД30-1015281","Болт топливопровода (топливного насоса ПЖД30)",41,2870
